id,parent,날짜,자산,분류,소분류,내용,금액,수입/지출,메모
267,,2023-08-12 16:57,은행,문화생활,,넷플,4250,지출,
268,,2023-08-11 16:57,은행,기타,,요아정(이전 맥도날드랑 퉁침)-지민,4000,지출,
269,,2023-08-07 20:57,은행,기타,,해비타트,10000,지출,
270,,2023-08-07 20:57,은행,식비,,맥도날드-지민,20000,지출,"15,468"
271,,2023-08-07 20:56,은행,기타,,피씨방,4000,지출,
272,,2023-08-02 20:56,은행,기타,,빵준키캡(뚱이3만원),0,수입,
273,,2023-08-01 20:55,은행,용돈,,,300000,수입,
274,,2023-07-30 20:53,은행,식비,,죠티빙수-샌드몽실,18900,지출,정확히 언젠지 기억안남
275,,2023-07-30 20:53,은행,문화생활,,"포타충전(5000원, 네이바페이)",10000,지출,
276,278,2023-07-28 20:50,은행,식비,,평화뒷고기빙수탕후루-요롱흐물오구지니샌드,25300,지출,
277,,2023-07-28 20:50,은행,식비,,핫도그(교내카페),3500,지출,
278,,2023-07-28 20:50,일정,약속,,뒷고기팟,25300,,
279,,2023-07-27 20:49,은행,식비,,그릭데이,6600,지출,
280,,2023-07-25 20:46,은행,식비,,메가커피-지민영수,7400,지출,
281,,2023-07-25 20:46,은행,패션/미용,,머리집게(이대역),2000,지출,
282,,2023-07-25 20:46,은행,기타,,회지 대리수령 환불,0,수입,
283,,2023-07-25 20:46,은행,식비,,서브웨이,6500,지출,
284,,2023-07-24 20:46,은행,식비,,서브웨이,6700,지출,
285,286,2023-07-23 20:45,은행,교통/차량,,춘천itx(카카오 충전,10000,지출,"8,300"
286,,2023-07-23 20:45,일정,여행,,춘천둥이,20000,,
287,291,2023-07-21 20:43,은행,식비,,꿔바로우크림새우-몽하,4480,지출,
288,,2023-07-21 20:43,은행,문화생활,,봄툰충전,11900,지출,
289,291,2023-07-21 20:43,은행,식비,,마라엽떡젤라또-몽하,8670,지출,
290,286,2023-07-21 20:43,은행,교통/차량,,춘천itx(카카오 충전,10000,지출,"8,600"
291,,2023-07-21 20:43,일정,약속,,몽하,13150,,
292,,2023-07-19 20:42,은행,문화생활,,산리오팔찌(편의점,3500,지출,
293,,2023-07-19 20:42,은행,문화생활,,플로결제,790,지출,
294,,2023-07-16 20:41,은행,식비,,케이크배달-지민(네이버페이,10000,지출,"원래가격16,500"
295,,2023-07-14 21:28,은행,문화생활,,봄툰충전,11900,지출,
296,,2023-07-13 21:27,은행,식비,,구슬아이스크림-지민,6500,지출,
297,,2023-07-13 21:27,은행,문화생활,,네이버플러스(4900원),10000,지출,
298,,2023-07-12 21:26,은행,패션/미용,,귀걸이,4900,지출,
299,,2023-07-12 21:26,은행,문화생활,,넷플,4250,지출,
300,,2023-07-10 21:26,은행,부수입,,학교알바,76960,수입,
301,,2023-07-05 21:25,은행,기타,,해비타트,10000,지출,
302,,2023-07-04 21:25,은행,기타,,종로구지방소득,75000,수입,
303,,2023-07-03 21:23,은행,문화생활,,대운동회 대리수령대리구매-일부환불됨,3000,지출,
304,,2023-07-03 21:23,은행,기타,,마라탕-지민,7200,수입,
305,,2023-07-03 21:23,은행,식비,,마라탕-지민(네이버페이충전),20000,지출,
306,309,2023-07-02 21:24,은행,문화생활,,만화방-세원자두,3600,지출,7/3 윤하린
307,309,2023-07-02 21:22,은행,식비,,명봉반점-세원자두,31500,지출,
308,309,2023-07-02 21:20,은행,식비,,카공-세원,6800,지출,
309,,2023-07-02 21:20,일정,약속,,세원자두모임,41900,,
310,,2023-07-01 21:28,은행,용돈,,,300000,수입,
311,,2023-06-30 21:17,은행,식비,,피자2만원>엄마가보내줌(2.3),0,지출,
312,,2023-06-30 21:17,은행,문화생활,,빵준키캡(김민정6만원),30000,지출,
313,314,2023-06-29 21:16,은행,식비,,해벽푸카페-뚱이세원몽실,31000,지출,
314,,2023-06-29 21:16,일정,약속,,해벽푸,31000,,
315,,2023-06-29 21:16,은행,문화생활,,봄툰충전,11900,지출,
316,,2023-06-27 21:14,은행,식비,,치즈퀸(네이버페이6만원),29700,지출,
317,,2023-06-27 21:14,은행,교육,,정처기 실기 접수,22600,지출,
318,,2023-06-26 1:52,은행,기타,,국고환급,750000,수입,
319,,2023-06-23 1:51,은행,식비,,아웃닭설빙-영애,24150,지출,
320,,2023-06-23 1:51,은행,식비,,이화성-혼밥(알바),9000,지출,
321,,2023-06-20 1:50,은행,문화생활,,"포타충전(5000원, 카카오페이)",10000,지출,
322,,2023-06-19 1:43,은행,식비,,마라샹궈-지민,5000,지출,"24,260원"
323,,2023-06-19 1:43,은행,문화생활,,플로결제,790,지출,
